date,STATION CODE,LOCATIONS,STATE,Temp,D.O. (mg/l),PH,CONDUCTIVITY (µmhos/cm),B.O.D. (mg/l),NITRATENAN N+ NITRITENANN (mg/l),FECAL COLIFORM (MPN/100ml),TOTAL COLIFORM (MPN/100ml)Mean,year
2012-01-01,1393,DAMANGANGA AT D/S OF MADHUBAN,DAMAN & DIU,31.0,7.1,7.8,151.0,8.0,0.08,233.0,465.0,2012
2012-01-04,1150,DAMANGANGA AT KACHIGAON U\S AT GIDC WIER,GUJARAT,28.0,7.2,7.4,319.0,0.7,0.18,5.0,10.0,2012
2012-01-05,1865,RIVER DHADAR AT KOTHADA,GUJARAT,27.0,6.2,8.4,894.0,9.0,0.38,140.0,350.0,2012
2012-01-06,1149,KOLAK AT PATALIA BDG,GUJARAT,29.0,2.4,7.6,1500.0,6.2,1.31,3.0,13.0,2012
2012-01-07,1399,ZUARI AT D/S OF PT. WHERE KUMBARJRIA CANAL JOINS,GOA,31.0,5.9,7.2,52.0,2.1,0.08,233.0,90.0,2012
2012-01-10,1475,ZUARI AT PANCHAWADI,GOA,30.0,6.1,6.8,408.0,1.3,0.17,1300.0,3808.0,2012
2012-01-13,3181,RIVER ZUARI AT BORIM BRIDGE,GOA,30.0,5.5,6.9,143.0,1.3,0.09,4100.0,11113.0,2012
2012-01-15,3182,RIVER ZUARI AT MARCAIM JETTY,GOA,29.0,5.4,7.2,60.0,1.5,0.08,428.0,2309.0,2012
2012-01-16,1400,MANDOVI AT NEGHBOURHOOD OF PANAJI,GOA,29.0,5.8,7.2,34.0,5.3,0.17,855.0,3322.0,2012
2012-01-17,1476,"MANDOVI AT TONCA, MARCELA",GOA,29.0,5.9,6.7,125.0,1.5,0.14,1638.0,5793.0,2012
2012-01-18,3185,MANDOVI AT AMONA BRIDGE,GOA,28.0,6.4,6.7,175.0,1.3,0.1,772.0,3636.0,2012
2012-01-20,3186,RIVER MANDOVI AT IFFI JETTY,GOA,30.0,6.2,7.7,39.0,1.3,0.06,1296.0,4517.0,2012
2012-01-22,3187,MANDOVI NEAR HOTEL MARRIOT,GOA,30.0,6.1,7.8,39.0,1.5,0.06,1032.0,5840.0,2012
2012-01-23,1543,KALNA AT CHANDELNAN PERNEM,GOA,27.0,7.3,6.9,61.0,0.7,0.09,1430.0,4388.0,2012
2012-01-26,1548,RIVER ASSONORA AT ASSONORA,GOA,28.0,6.8,6.6,71.0,1.5,0.14,2495.0,3949.0,2012
2012-01-27,2276,"BICHOLIM VARAZAN NAGAR, BICHOLIM",GOA,29.0,7.4,6.5,129.0,2.3,0.49,5868.0,16691.0,2012
2012-01-28,2275,"RIVER CHAPORA NEAR ALORNA FORT ,PERNEM",GOA,28.0,7.0,6.8,503.0,1.6,0.66,965.0,2404.0,2012
2012-02-02,3189,RIVER CHAPORA AT SIOLIM,GOA,29.0,6.3,7.5,31.0,1.6,0.06,1466.0,4267.0,2012
2012-02-04,1546,KHANDEPAR AT OPA NAN PONDA,GOA,29.0,7.1,6.8,70.0,0.8,0.17,716.0,3567.0,2012
2012-02-05,2270,"KHANDEPAR AT CODLI NR BDG, U/S OPA WATERWORKS,SANGUEM",GOA,30.0,7.3,6.8,69.0,1.2,0.12,457.0,2446.0,2012
